Seq_Sample_ID,Sample_ID,,District,Country
all_ACH-21-BB-31_S140,ACH-21-BB-31_S140,ACH-21-BB-31,Batu,Ethiopia
all_ACH-21-BB-33_S151,ACH-21-BB-33_S151,ACH-21-BB-33,Batu,Ethiopia
all_ACH-21-BB-37_S162,ACH-21-BB-37_S162,ACH-21-BB-37,Batu,Ethiopia
all_ACH-21-BB-39_S174,ACH-21-BB-39_S174,ACH-21-BB-39,Batu,Ethiopia
all_ACH-21-BB-42_S94,ACH-21-BB-42_S94,ACH-21-BB-42,Batu,Ethiopia
all_ACH-21-BB-46_S106,ACH-21-BB-46_S106,ACH-21-BB-46,Batu,Ethiopia
all_ACH-21-BB-53_S118,ACH-21-BB-53_S118,ACH-21-BB-53,Batu,Ethiopia
all_ACH-21-BB-57_S130,ACH-21-BB-57_S130,ACH-21-BB-57,Batu,Ethiopia
all_ACH-21-BB-67_S141,ACH-21-BB-67_S141,ACH-21-BB-67,Batu,Ethiopia
all_ACH-21-BB-68_S152,ACH-21-BB-68_S152,ACH-21-BB-68,Batu,Ethiopia
all_ACH-21-BB-75_S163,ACH-21-BB-75_S163,ACH-21-BB-75,Batu,Ethiopia
all_ACH-21-BB-77_S175,ACH-21-BB-77_S175,ACH-21-BB-77,Batu,Ethiopia
all_ACH-21-BB-79_S95,ACH-21-BB-79_S95,ACH-21-BB-79,Batu,Ethiopia
all_ACH-21-BB-81_S107,ACH-21-BB-81_S107,ACH-21-BB-81,Batu,Ethiopia
all_ACH-21-BB-86_S131,ACH-21-BB-86_S131,ACH-21-BB-86,Batu,Ethiopia
all_ACH-21-BB-89_S153,ACH-21-BB-89_S153,ACH-21-BB-89,Batu,Ethiopia
all_ACH-21-BB-91_S176,ACH-21-BB-91_S176,ACH-21-BB-91,Batu,Ethiopia
all_ACH-21-BB-92_S96,ACH-21-BB-92_S96,ACH-21-BB-92,Batu,Ethiopia
all_ACH-21-BD-05_S108,ACH-21-BD-05_S108,ACH-21-BD-05,Batu,Ethiopia
all_ACH-21-BD-11_S120,ACH-21-BD-11_S120,ACH-21-BD-11,Batu,Ethiopia
all_ACH-21-BD-18_S105,ACH-21-BD-18_S105,ACH-21-BD-18,Batu,Ethiopia
all_ACH-21-BD-27_S117,ACH-21-BD-27_S117,ACH-21-BD-27,Batu,Ethiopia
all_ACH-21-BD-28_S129,ACH-21-BD-28_S129,ACH-21-BD-28,Batu,Ethiopia
all_ACH-21-BS-003_S132,ACH-21-BS-003_S132,ACH-21-BS-003,Batu,Ethiopia
all_ACH-21-BS-008_S143,ACH-21-BS-008_S143,ACH-21-BS-008,Batu,Ethiopia
all_ACH-21-BS-009_S154,ACH-21-BS-009_S154,ACH-21-BS-009,Batu,Ethiopia
all_ACH-21-BS-012_S165,ACH-21-BS-012_S165,ACH-21-BS-012,Batu,Ethiopia
all_ACH-21-BS-015_S177,ACH-21-BS-015_S177,ACH-21-BS-015,Batu,Ethiopia
all_ACH-21-BS-024_S97,ACH-21-BS-024_S97,ACH-21-BS-024,Batu,Ethiopia
all_ACH-21-BS-027_S109,ACH-21-BS-027_S109,ACH-21-BS-027,Batu,Ethiopia
all_ACH-21-BS-028_S121,ACH-21-BS-028_S121,ACH-21-BS-028,Batu,Ethiopia
all_ACH-21-BS-032_S133,ACH-21-BS-032_S133,ACH-21-BS-032,Batu,Ethiopia
all_ACH-21-BS-048_S155,ACH-21-BS-048_S155,ACH-21-BS-048,Batu,Ethiopia
all_ACH-21-BS-052_S166,ACH-21-BS-052_S166,ACH-21-BS-052,Batu,Ethiopia
all_ACH-21-BS-053_S178,ACH-21-BS-053_S178,ACH-21-BS-053,Batu,Ethiopia
all_ACH-21-BS-070_S98,ACH-21-BS-070_S98,ACH-21-BS-070,Batu,Ethiopia
all_ACH-21-BS-074_S110,ACH-21-BS-074_S110,ACH-21-BS-074,Batu,Ethiopia
all_ACH-21-BS-075_S122,ACH-21-BS-075_S122,ACH-21-BS-075,Batu,Ethiopia
all_ACH-21-BS-076_S134,ACH-21-BS-076_S134,ACH-21-BS-076,Batu,Ethiopia
all_ACH-21-BS-077_S145,ACH-21-BS-077_S145,ACH-21-BS-077,Batu,Ethiopia
all_ACH-21-BS-080_S156,ACH-21-BS-080_S156,ACH-21-BS-080,Batu,Ethiopia
all_ACH-21-BS-081_S167,ACH-21-BS-081_S167,ACH-21-BS-081,Batu,Ethiopia
all_ACH-21-BS-082_S179,ACH-21-BS-082_S179,ACH-21-BS-082,Batu,Ethiopia
all_ACH-21-BS-083_S99,ACH-21-BS-083_S99,ACH-21-BS-083,Batu,Ethiopia
all_ACH-21-BS-084_S111,ACH-21-BS-084_S111,ACH-21-BS-084,Batu,Ethiopia
all_ACH-21-DH-130_S31,ACH-21-DH-130_S31,ACH-21-DH-130,Dera,Ethiopia
all_ACH-21-DH-132_S42,ACH-21-DH-132_S42,ACH-21-DH-132,Dera,Ethiopia
all_ACH-21-DH-133_S54,ACH-21-DH-133_S54,ACH-21-DH-133,Dera,Ethiopia
all_ACH-21-DH-135_S194,ACH-21-DH-135_S194,ACH-21-DH-135,Dera,Ethiopia
all_ACH-21-DH-136_S206,ACH-21-DH-136_S206,ACH-21-DH-136,Dera,Ethiopia
all_ACH-21-DH-137_S218,ACH-21-DH-137_S218,ACH-21-DH-137,Dera,Ethiopia
all_ACH-21-DH-138_S10,ACH-21-DH-138_S10,ACH-21-DH-138,Dera,Ethiopia
all_ACH-21-DH-141_S21,ACH-21-DH-141_S21,ACH-21-DH-141,Dera,Ethiopia
all_ACH-21-DH-144_S32,ACH-21-DH-144_S32,ACH-21-DH-144,Dera,Ethiopia
all_ACH-21-DH-145_S43,ACH-21-DH-145_S43,ACH-21-DH-145,Dera,Ethiopia
all_ACH-21-DH-147_S55,ACH-21-DH-147_S55,ACH-21-DH-147,Dera,Ethiopia
all_ACH-21-DH-148_S195,ACH-21-DH-148_S195,ACH-21-DH-148,Dera,Ethiopia
all_ACH-21-DH-149_S207,ACH-21-DH-149_S207,ACH-21-DH-149,Dera,Ethiopia
all_ACH-21-DH-159_S219,ACH-21-DH-159_S219,ACH-21-DH-159,Dera,Ethiopia
all_ACH-21-DH-160_S11,ACH-21-DH-160_S11,ACH-21-DH-160,Dera,Ethiopia
all_ACH-21-DH-167_S22,ACH-21-DH-167_S22,ACH-21-DH-167,Dera,Ethiopia
all_ACH-21-DH-180_S33,ACH-21-DH-180_S33,ACH-21-DH-180,Dera,Ethiopia
all_ACH-21-DH-181_S44,ACH-21-DH-181_S44,ACH-21-DH-181,Dera,Ethiopia
all_ACH-21-DH-184_S56,ACH-21-DH-184_S56,ACH-21-DH-184,Dera,Ethiopia
all_ACH-21-DH-185_S196,ACH-21-DH-185_S196,ACH-21-DH-185,Dera,Ethiopia
all_ACH-21-DH-188_S63,ACH-21-DH-188_S63,ACH-21-DH-188,Dera,Ethiopia
all_ACH-21-DH-189_S75,ACH-21-DH-189_S75,ACH-21-DH-189,Dera,Ethiopia
all_ACH-21-DH-193_S87,ACH-21-DH-193_S87,ACH-21-DH-193,Dera,Ethiopia
all_ACH-21-DH-196_S99,ACH-21-DH-196_S99,ACH-21-DH-196,Dera,Ethiopia
all_ACH-21-DH-200_S110,ACH-21-DH-200_S110,ACH-21-DH-200,Dera,Ethiopia
all_ACH-21-DH-201_S121,ACH-21-DH-201_S121,ACH-21-DH-201,Dera,Ethiopia
all_ACH-21-DH-203_S132,ACH-21-DH-203_S132,ACH-21-DH-203,Dera,Ethiopia
all_ACH-21-DH-204_S144,ACH-21-DH-204_S144,ACH-21-DH-204,Dera,Ethiopia
all_ACH-21-FB-001_S1,ACH-21-FB-001_S1,ACH-21-FB-001,Fedis,Ethiopia
all_ACH-21-FB-003_S13,ACH-21-FB-003_S13,ACH-21-FB-003,Fedis,Ethiopia
all_ACH-21-FB-004_S25,ACH-21-FB-004_S25,ACH-21-FB-004,Fedis,Ethiopia
all_ACH-21-FB-006_S37,ACH-21-FB-006_S37,ACH-21-FB-006,Fedis,Ethiopia
all_ACH-21-FB-008_S48,ACH-21-FB-008_S48,ACH-21-FB-008,Fedis,Ethiopia
all_ACH-21-FB-009_S59,ACH-21-FB-009_S59,ACH-21-FB-009,Fedis,Ethiopia
all_ACH-21-FB-011_S70,ACH-21-FB-011_S70,ACH-21-FB-011,Fedis,Ethiopia
all_ACH-21-FB-012_S82,ACH-21-FB-012_S82,ACH-21-FB-012,Fedis,Ethiopia
all_ACH-21-FB-014_S2,ACH-21-FB-014_S2,ACH-21-FB-014,Fedis,Ethiopia
all_ACH-21-FB-016_S14,ACH-21-FB-016_S14,ACH-21-FB-016,Fedis,Ethiopia
all_ACH-21-FB-021_S26,ACH-21-FB-021_S26,ACH-21-FB-021,Fedis,Ethiopia
all_ACH-21-FB-023_S38,ACH-21-FB-023_S38,ACH-21-FB-023,Fedis,Ethiopia
all_ACH-21-FB-024_S49,ACH-21-FB-024_S49,ACH-21-FB-024,Fedis,Ethiopia
all_ACH-21-FB-026_S60,ACH-21-FB-026_S60,ACH-21-FB-026,Fedis,Ethiopia
all_ACH-21-FB-027_S71,ACH-21-FB-027_S71,ACH-21-FB-027,Fedis,Ethiopia
all_ACH-21-FB-028_S83,ACH-21-FB-028_S83,ACH-21-FB-028,Fedis,Ethiopia
all_ACH-21-FB-029_S3,ACH-21-FB-029_S3,ACH-21-FB-029,Fedis,Ethiopia
all_ACH-21-FB-031_S15,ACH-21-FB-031_S15,ACH-21-FB-031,Fedis,Ethiopia
all_ACH-21-FB-032_S27,ACH-21-FB-032_S27,ACH-21-FB-032,Fedis,Ethiopia
all_ACH-21-FB-036_S39,ACH-21-FB-036_S39,ACH-21-FB-036,Fedis,Ethiopia
all_ACH-21-FB-038_S50,ACH-21-FB-038_S50,ACH-21-FB-038,Fedis,Ethiopia
all_ACH-21-FB-040_S61,ACH-21-FB-040_S61,ACH-21-FB-040,Fedis,Ethiopia
all_ACH-21-FB-042_S72,ACH-21-FB-042_S72,ACH-21-FB-042,Fedis,Ethiopia
all_ACH-21-FB-043_S84,ACH-21-FB-043_S84,ACH-21-FB-043,Fedis,Ethiopia
all_ACH-21-FB-044_S4,ACH-21-FB-044_S4,ACH-21-FB-044,Fedis,Ethiopia
all_ACH-21-FB-047_S16,ACH-21-FB-047_S16,ACH-21-FB-047,Fedis,Ethiopia
all_ACH-21-FB-049_S28,ACH-21-FB-049_S28,ACH-21-FB-049,Fedis,Ethiopia
all_ACH-21-FB-050_S40,ACH-21-FB-050_S40,ACH-21-FB-050,Fedis,Ethiopia
all_ACH-21-FB-051_S51,ACH-21-FB-051_S51,ACH-21-FB-051,Fedis,Ethiopia
all_ACH-21-FB-053_S62,ACH-21-FB-053_S62,ACH-21-FB-053,Fedis,Ethiopia
all_ACH-21-FB-057_S73,ACH-21-FB-057_S73,ACH-21-FB-057,Fedis,Ethiopia
all_ACH-21-FB-059_S85,ACH-21-FB-059_S85,ACH-21-FB-059,Fedis,Ethiopia
all_ACH-21-FB-061_S5,ACH-21-FB-061_S5,ACH-21-FB-061,Fedis,Ethiopia
all_ACH-21-FB-063_S17,ACH-21-FB-063_S17,ACH-21-FB-063,Fedis,Ethiopia
all_ACH-21-FB-064_S29,ACH-21-FB-064_S29,ACH-21-FB-064,Fedis,Ethiopia
all_ACH-21-FB-067_S41,ACH-21-FB-067_S41,ACH-21-FB-067,Fedis,Ethiopia
all_ACH-21-FB-071_S52,ACH-21-FB-071_S52,ACH-21-FB-071,Fedis,Ethiopia
all_ACH-21-FB-072_S63,ACH-21-FB-072_S63,ACH-21-FB-072,Fedis,Ethiopia
all_ACH-21-FB-077_S74,ACH-21-FB-077_S74,ACH-21-FB-077,Fedis,Ethiopia
all_ACH-21-FB-078_S86,ACH-21-FB-078_S86,ACH-21-FB-078,Fedis,Ethiopia
all_ACH-21-FB-079_S6,ACH-21-FB-079_S6,ACH-21-FB-079,Fedis,Ethiopia
all_ACH-21-FB-080_S18,ACH-21-FB-080_S18,ACH-21-FB-080,Fedis,Ethiopia
all_ACH-21-FB-081_S30,ACH-21-FB-081_S30,ACH-21-FB-081,Fedis,Ethiopia
all_ACH-21-FB-082_S42,ACH-21-FB-082_S42,ACH-21-FB-082,Fedis,Ethiopia
all_ACH-21-FB-084_S53,ACH-21-FB-084_S53,ACH-21-FB-084,Fedis,Ethiopia
all_ACH-21-FB-085_S64,ACH-21-FB-085_S64,ACH-21-FB-085,Fedis,Ethiopia
all_ACH-21-FB-088_S87,ACH-21-FB-088_S87,ACH-21-FB-088,Fedis,Ethiopia
all_ACH-21-SH-065_S184,ACH-21-SH-065_S184,ACH-21-SH-065,Salamago,Ethiopia
all_ACH-21-SH-069_S93,ACH-21-SH-069_S93,ACH-21-SH-069,Salamago,Ethiopia
all_ACH-21-SH-070_S119,ACH-21-SH-070_S119,ACH-21-SH-070,Salamago,Ethiopia
all_ACH-21-SK-017_S124,ACH-21-SK-017_S124,ACH-21-SK-017,Salamago,Ethiopia
all_ACH-21-SK-018_S104,ACH-21-SK-018_S104,ACH-21-SK-018,Salamago,Ethiopia
all_ACH21-AA001_S7,ACH21-AA001_S7,ACH21-AA001,Amibara,Ethiopia
all_ACH21-AA003_S31,ACH21-AA003_S31,ACH21-AA003,Amibara,Ethiopia
all_ACH21-AA004_S43,ACH21-AA004_S43,ACH21-AA004,Amibara,Ethiopia
all_ACH21-AA005_S54,ACH21-AA005_S54,ACH21-AA005,Amibara,Ethiopia
all_ACH21-AA006_S65,ACH21-AA006_S65,ACH21-AA006,Amibara,Ethiopia
all_ACH21-AA007_S76,ACH21-AA007_S76,ACH21-AA007,Amibara,Ethiopia
all_ACH21-AA008_S88,ACH21-AA008_S88,ACH21-AA008,Amibara,Ethiopia
all_ACH21-AA009_S8,ACH21-AA009_S8,ACH21-AA009,Amibara,Ethiopia
all_ACH21-AA010_S20,ACH21-AA010_S20,ACH21-AA010,Amibara,Ethiopia
all_ACH21-AA011_S32,ACH21-AA011_S32,ACH21-AA011,Amibara,Ethiopia
all_ACH21-AA012_S44,ACH21-AA012_S44,ACH21-AA012,Amibara,Ethiopia
all_ACH21-AA014_S66,ACH21-AA014_S66,ACH21-AA014,Amibara,Ethiopia
all_ACH21-AA015_S77,ACH21-AA015_S77,ACH21-AA015,Amibara,Ethiopia
all_ACH21-AA018_S9,ACH21-AA018_S9,ACH21-AA018,Amibara,Ethiopia
all_ACH21-AA022_S33,ACH21-AA022_S33,ACH21-AA022,Amibara,Ethiopia
all_ACH21-AA023_S45,ACH21-AA023_S45,ACH21-AA023,Amibara,Ethiopia
all_ACH21-AA024_S56,ACH21-AA024_S56,ACH21-AA024,Amibara,Ethiopia
all_ACH21-AA025_S67,ACH21-AA025_S67,ACH21-AA025,Amibara,Ethiopia
all_ACH21-AA026_S78,ACH21-AA026_S78,ACH21-AA026,Amibara,Ethiopia
all_ACH21-AA028_S90,ACH21-AA028_S90,ACH21-AA028,Amibara,Ethiopia
all_ACH21-AA029_S10,ACH21-AA029_S10,ACH21-AA029,Amibara,Ethiopia
all_ACH21-AA030_S22,ACH21-AA030_S22,ACH21-AA030,Amibara,Ethiopia
all_ACH21-AA031_S34,ACH21-AA031_S34,ACH21-AA031,Amibara,Ethiopia
all_ACH21-AA032_S46,ACH21-AA032_S46,ACH21-AA032,Amibara,Ethiopia
all_ACH21-AA033_S57,ACH21-AA033_S57,ACH21-AA033,Amibara,Ethiopia
all_ACH21-AA034_S68,ACH21-AA034_S68,ACH21-AA034,Amibara,Ethiopia
all_ACH21-AA035_S79,ACH21-AA035_S79,ACH21-AA035,Amibara,Ethiopia
all_ACH21-AA036_S91,ACH21-AA036_S91,ACH21-AA036,Amibara,Ethiopia
all_ACH21-AA037_S11,ACH21-AA037_S11,ACH21-AA037,Amibara,Ethiopia
all_ACH21-AA039_S23,ACH21-AA039_S23,ACH21-AA039,Amibara,Ethiopia
all_ACH21-AA041_S47,ACH21-AA041_S47,ACH21-AA041,Amibara,Ethiopia
all_ACH21-AA042_S58,ACH21-AA042_S58,ACH21-AA042,Amibara,Ethiopia
all_ACH21-AA043_S69,ACH21-AA043_S69,ACH21-AA043,Amibara,Ethiopia
all_ACH21-AA044_S80,ACH21-AA044_S80,ACH21-AA044,Amibara,Ethiopia
all_ACH21-AA045_S92,ACH21-AA045_S92,ACH21-AA045,Amibara,Ethiopia
all_ACH21-AA046_S75,ACH21-AA046_S75,ACH21-AA046,Amibara,Ethiopia
all_ACH21-AA047_S55,ACH21-AA047_S55,ACH21-AA047,Amibara,Ethiopia
all_ACH21-AA048_S89,ACH21-AA048_S89,ACH21-AA048,Amibara,Ethiopia
all_ACH21-AA049_S12,ACH21-AA049_S12,ACH21-AA049,Amibara,Ethiopia
all_ACH21-DL002_S149,ACH21-DL002_S149,ACH21-DL002,Dasenech,Ethiopia
all_ACH21-DL004_S150,ACH21-DL004_S150,ACH21-DL004,Dasenech,Ethiopia
all_ACH21-DL005_S151,ACH21-DL005_S151,ACH21-DL005,Dasenech,Ethiopia
all_ACH21-DL007_S152,ACH21-DL007_S152,ACH21-DL007,Dasenech,Ethiopia
all_ACH21-DL012_S156,ACH21-DL012_S156,ACH21-DL012,Dasenech,Ethiopia
all_ACH21-DL014_S157,ACH21-DL014_S157,ACH21-DL014,Dasenech,Ethiopia
all_ACH21-DL015_S159,ACH21-DL015_S159,ACH21-DL015,Dasenech,Ethiopia
all_ACH21-DL017_S160,ACH21-DL017_S160,ACH21-DL017,Dasenech,Ethiopia
all_ACH21-DL019_S161,ACH21-DL019_S161,ACH21-DL019,Dasenech,Ethiopia
all_ACH21-DL020_S162,ACH21-DL020_S162,ACH21-DL020,Dasenech,Ethiopia
all_ACH21-DL021_S163,ACH21-DL021_S163,ACH21-DL021,Dasenech,Ethiopia
all_ACH21-DL022_S164,ACH21-DL022_S164,ACH21-DL022,Dasenech,Ethiopia
all_ACH21-DL064_S170,ACH21-DL064_S170,ACH21-DL064,Dasenech,Ethiopia
all_ACH21-DL067_S171,ACH21-DL067_S171,ACH21-DL067,Dasenech,Ethiopia
all_ACH21-DL069_S172,ACH21-DL069_S172,ACH21-DL069,Dasenech,Ethiopia
all_ACH21-DL083_S173,ACH21-DL083_S173,ACH21-DL083,Dasenech,Ethiopia
all_ACH21-DL086_S174,ACH21-DL086_S174,ACH21-DL086,Dasenech,Ethiopia
all_ACH21-DL089_S175,ACH21-DL089_S175,ACH21-DL089,Dasenech,Ethiopia
all_ACH21-DO001_S129,ACH21-DO001_S129,ACH21-DO001,Dasenech,Ethiopia
all_ACH21-DO002_S130,ACH21-DO002_S130,ACH21-DO002,Dasenech,Ethiopia
all_ACH21-DO003_S131,ACH21-DO003_S131,ACH21-DO003,Dasenech,Ethiopia
all_ACH21-DO004_S132,ACH21-DO004_S132,ACH21-DO004,Dasenech,Ethiopia
all_ACH21-DO005_S134,ACH21-DO005_S134,ACH21-DO005,Dasenech,Ethiopia
all_ACH21-DO006_S135,ACH21-DO006_S135,ACH21-DO006,Dasenech,Ethiopia
all_ACH21-DO007_S136,ACH21-DO007_S136,ACH21-DO007,Dasenech,Ethiopia
all_ACH21-DO008_S137,ACH21-DO008_S137,ACH21-DO008,Dasenech,Ethiopia
all_ACH21-DO009_S138,ACH21-DO009_S138,ACH21-DO009,Dasenech,Ethiopia
all_ACH21-DO011_S139,ACH21-DO011_S139,ACH21-DO011,Dasenech,Ethiopia
all_ACH21-DO012_S140,ACH21-DO012_S140,ACH21-DO012,Dasenech,Ethiopia
all_ACH21-DO019_S145,ACH21-DO019_S145,ACH21-DO019,Dasenech,Ethiopia
all_ACH21-DO021_S146,ACH21-DO021_S146,ACH21-DO021,Dasenech,Ethiopia
all_ACH21-DO022_S147,ACH21-DO022_S147,ACH21-DO022,Dasenech,Ethiopia
all_ACH21-DO023_S148,ACH21-DO023_S148,ACH21-DO023,Dasenech,Ethiopia
all_ACH21-DO151_S165,ACH21-DO151_S165,ACH21-DO151,Dasenech,Ethiopia
all_ACH21-DO152_S166,ACH21-DO152_S166,ACH21-DO152,Dasenech,Ethiopia
all_ACH21-DO154_S167,ACH21-DO154_S167,ACH21-DO154,Dasenech,Ethiopia
all_ACH21-DO156_S168,ACH21-DO156_S168,ACH21-DO156,Dasenech,Ethiopia
all_ACH21-DO165_S169,ACH21-DO165_S169,ACH21-DO165,Dasenech,Ethiopia
all_ACH21-FM011_S93,ACH21-FM011_S93,ACH21-FM011,Fentale,Ethiopia
all_ACH21-FM012_S104,ACH21-FM012_S104,ACH21-FM012,Fentale,Ethiopia
all_ACH21-FM014_S115,ACH21-FM014_S115,ACH21-FM014,Fentale,Ethiopia
all_ACH21-FM015_S126,ACH21-FM015_S126,ACH21-FM015,Fentale,Ethiopia
all_ACH21-FM023_S138,ACH21-FM023_S138,ACH21-FM023,Fentale,Ethiopia
all_ACH21-FM024_S58,ACH21-FM024_S58,ACH21-FM024,Fentale,Ethiopia
all_ACH21-FM025_S119,ACH21-FM025_S119,ACH21-FM025,Fentale,Ethiopia
all_ACH21-FM026_S70,ACH21-FM026_S70,ACH21-FM026,Fentale,Ethiopia
all_ACH21-FM027_S82,ACH21-FM027_S82,ACH21-FM027,Fentale,Ethiopia
all_ACH21-FM028_S94,ACH21-FM028_S94,ACH21-FM028,Fentale,Ethiopia
all_ACH21-FM033_S116,ACH21-FM033_S116,ACH21-FM033,Fentale,Ethiopia
all_ACH21-FM034_S127,ACH21-FM034_S127,ACH21-FM034,Fentale,Ethiopia
all_ACH21-FM040_S139,ACH21-FM040_S139,ACH21-FM040,Fentale,Ethiopia
all_ACH21-FM044_S59,ACH21-FM044_S59,ACH21-FM044,Fentale,Ethiopia
all_ACH21-FM046_S71,ACH21-FM046_S71,ACH21-FM046,Fentale,Ethiopia
all_ACH21-FM049_S83,ACH21-FM049_S83,ACH21-FM049,Fentale,Ethiopia
all_ACH21-FM050_S95,ACH21-FM050_S95,ACH21-FM050,Fentale,Ethiopia
all_ACH21-FM051_S106,ACH21-FM051_S106,ACH21-FM051,Fentale,Ethiopia
all_ACH21-FM052_S117,ACH21-FM052_S117,ACH21-FM052,Fentale,Ethiopia
all_ACH21-FM054_S128,ACH21-FM054_S128,ACH21-FM054,Fentale,Ethiopia
all_ACH21-FM055_S140,ACH21-FM055_S140,ACH21-FM055,Fentale,Ethiopia
all_ACH21-FM058_S60,ACH21-FM058_S60,ACH21-FM058,Fentale,Ethiopia
all_ACH21-FM059_S72,ACH21-FM059_S72,ACH21-FM059,Fentale,Ethiopia
all_ACH21-FM060_S84,ACH21-FM060_S84,ACH21-FM060,Fentale,Ethiopia
all_ACH21-FM062_S96,ACH21-FM062_S96,ACH21-FM062,Fentale,Ethiopia
all_ACH21-FM064_S107,ACH21-FM064_S107,ACH21-FM064,Fentale,Ethiopia
all_ACH21-FM066_S118,ACH21-FM066_S118,ACH21-FM066,Fentale,Ethiopia
all_ACH21-FM069_S129,ACH21-FM069_S129,ACH21-FM069,Fentale,Ethiopia
all_ACH21-FM070_S141,ACH21-FM070_S141,ACH21-FM070,Fentale,Ethiopia
all_ACH21-FM071_S61,ACH21-FM071_S61,ACH21-FM071,Fentale,Ethiopia
all_ACH21-FM074_S73,ACH21-FM074_S73,ACH21-FM074,Fentale,Ethiopia
all_ACH21-FM079_S85,ACH21-FM079_S85,ACH21-FM079,Fentale,Ethiopia
all_ACH21-FM080_S97,ACH21-FM080_S97,ACH21-FM080,Fentale,Ethiopia
all_ACH21-FM081_S108,ACH21-FM081_S108,ACH21-FM081,Fentale,Ethiopia
all_ACH21-FM083_S130,ACH21-FM083_S130,ACH21-FM083,Fentale,Ethiopia
all_ACH21-FM086_S142,ACH21-FM086_S142,ACH21-FM086,Fentale,Ethiopia
all_ACH21-FM088_S62,ACH21-FM088_S62,ACH21-FM088,Fentale,Ethiopia
all_ACH21-FM089_S74,ACH21-FM089_S74,ACH21-FM089,Fentale,Ethiopia
all_ACH21-FM092_S86,ACH21-FM092_S86,ACH21-FM092,Fentale,Ethiopia
all_ACH21-FM094_S98,ACH21-FM094_S98,ACH21-FM094,Fentale,Ethiopia
all_ACH21-FM095_S109,ACH21-FM095_S109,ACH21-FM095,Fentale,Ethiopia
all_ACH21-FM096_S120,ACH21-FM096_S120,ACH21-FM096,Fentale,Ethiopia
all_ACH21-FM097_S131,ACH21-FM097_S131,ACH21-FM097,Fentale,Ethiopia
all_ACH21-FM098_S143,ACH21-FM098_S143,ACH21-FM098,Fentale,Ethiopia
all_ACH21-GA008_S64,ACH21-GA008_S64,ACH21-GA008,Gambella,Ethiopia
all_ACH21-GA009_S76,ACH21-GA009_S76,ACH21-GA009,Gambella,Ethiopia
all_ACH21-GA013_S88,ACH21-GA013_S88,ACH21-GA013,Gambella,Ethiopia
all_ACH21-GA019_S100,ACH21-GA019_S100,ACH21-GA019,Gambella,Ethiopia
all_ACH21-GA022_S111,ACH21-GA022_S111,ACH21-GA022,Gambella,Ethiopia
all_ACH21-GA024_S122,ACH21-GA024_S122,ACH21-GA024,Gambella,Ethiopia
all_ACH21-GA026_S133,ACH21-GA026_S133,ACH21-GA026,Gambella,Ethiopia
all_ACH21-GA027_S145,ACH21-GA027_S145,ACH21-GA027,Gambella,Ethiopia
all_ACH21-GA028_S65,ACH21-GA028_S65,ACH21-GA028,Gambella,Ethiopia
all_ACH21-GA029_S77,ACH21-GA029_S77,ACH21-GA029,Gambella,Ethiopia
all_ACH21-GA030_S89,ACH21-GA030_S89,ACH21-GA030,Gambella,Ethiopia
all_ACH21-GA034_S101,ACH21-GA034_S101,ACH21-GA034,Gambella,Ethiopia
all_ACH21-GA036_S112,ACH21-GA036_S112,ACH21-GA036,Gambella,Ethiopia
all_ACH21-GB004_S123,ACH21-GB004_S123,ACH21-GB004,Gambella,Ethiopia
all_ACH21-GB022_S134,ACH21-GB022_S134,ACH21-GB022,Gambella,Ethiopia
all_ACH21-GB025_S146,ACH21-GB025_S146,ACH21-GB025,Gambella,Ethiopia
all_ACH21-GB061_S66,ACH21-GB061_S66,ACH21-GB061,Gambella,Ethiopia
all_ACH21-GB069_S78,ACH21-GB069_S78,ACH21-GB069,Gambella,Ethiopia
all_ACH21-GB073_S90,ACH21-GB073_S90,ACH21-GB073,Gambella,Ethiopia
all_ACH21-GB089_S102,ACH21-GB089_S102,ACH21-GB089,Gambella,Ethiopia
all_ACH21-GB090_S113,ACH21-GB090_S113,ACH21-GB090,Gambella,Ethiopia
all_ACH21-GB094_S124,ACH21-GB094_S124,ACH21-GB094,Gambella,Ethiopia
all_ACH21-GB100_S135,ACH21-GB100_S135,ACH21-GB100,Gambella,Ethiopia
all_ACH21-GB116_S147,ACH21-GB116_S147,ACH21-GB116,Gambella,Ethiopia
all_ACH21-GB120_S67,ACH21-GB120_S67,ACH21-GB120,Gambella,Ethiopia
all_ACH21-GU001_S76,ACH21-GU001_S76,ACH21-GU001,Guba,Ethiopia
all_ACH21-GU003_S77,ACH21-GU003_S77,ACH21-GU003,Guba,Ethiopia
all_ACH21-GU004_S78,ACH21-GU004_S78,ACH21-GU004,Guba,Ethiopia
all_ACH21-GU006_S32,ACH21-GU006_S32,ACH21-GU006,Guba,Ethiopia
all_ACH21-GU007_S33,ACH21-GU007_S33,ACH21-GU007,Guba,Ethiopia
